y/delta,y^+,U,dU/dy,k,u'u',v'v',w'w',u'v',epsilon,b_11,b_22,b_33,b_12,phi_11,phi_22,phi_33,phi_12
0.0,0.0,0.0,1.0,2.491837828471337e-34,1.8357590830692212e-34,-0.0,3.147916573873454e-34,0.0,0.5410801017192931,0.03502111214745479,-0.3333333333333333,0.2983122211858788,0.0,7.72830412658327e-20,-2.611153766007486e-19,1.838323353349159e-19,0.1364602860464657
1.217311652923492e-06,0.002428240184538776,0.002428238706568825,0.9999987826757016,7.974159889513418e-07,1.102623708500639e-06,6.103634818028283e-15,4.922082632984095e-07,-1.525932999220447e-11,0.5408313088019334,0.35803962869534817,-0.33333332950619987,-0.024706299189148406,-9.56798597195898e-06,2.340631207833161e-05,-0.0001243804984717419,0.0001009741863934102,0.1364542212450312
6.086537518545931e-06,0.01214115953933537,0.01214112258503029,0.9999939116279885,1.991696619622474e-05,2.755853126213219e-05,3.802941497507657e-12,1.227539732737579e-05,-1.909377764792869e-09,0.5398417521033252,0.3585022351619305,-0.33333323786343444,-0.025168997298496032,-4.79334489495391e-05,0.0001162182936674824,-0.0006194981461561326,0.0005032798524886501,0.1364269036100265
1.704221791976046e-05,0.03399507290269083,0.03399478287675957,0.9999829163467928,0.0001558269243073249,0.0002159370200458166,2.3212510440484848e-10,9.571659644372876e-05,-4.2011439119236916e-08,0.5376475990356626,0.3595412164458223,-0.3333325885162696,-0.026208627929552697,-0.0001348016053900324,0.0003203131765279343,-0.001719539452872493,0.001399226276344559,0.1363472566043661
3.651878945154508e-05,0.07284608820098583,0.07284475059135002,0.9999630687193456,0.0007129407515753984,0.0009905814916025865,4.8341135624224945e-09,0.0004352951774346481,-4.150592049205752e-07,0.5338542366591266,0.36138182316016226,-0.333329943070151,-0.028051880090010972,-0.00029108954987031613,0.0006671483509072877,-0.003628023516002636,0.002960875165095346,0.1361431161988355
6.69505434929274e-05,0.1335500236901577,0.1335454677561239,0.9999304842942872,0.0023829670924075,0.003324593183042168,5.3566746238907334e-08,0.001441287435026594,-2.573580648528866e-06,0.5281887083399075,0.36424096251717036,-0.33332209382725503,-0.030918868689915113,-0.0005399950038606681,0.001168867528639883,-0.006491961890698895,0.005323094362059011,0.1356657857742319
0.0001107715847206148,0.2209623252004996,0.2209494420224581,0.999877492786481,0.00647261688902763,0.00908308146144057,3.904510186719539e-07,0.003861761865596018,-1.175845273076402e-05,0.5205497973074464,0.36832116106739315,-0.33330317157454503,-0.03501798949284812,-0.0009083229343217372,0.001807810901604193,-0.01037200625795026,0.008564195356346067,0.1346557166594987
0.0001704157896263991,0.339937983388989,0.3399053677350165,0.9997863359071852,0.01516294685602355,0.02144450099811426,2.106628516994868e-06,0.008879286085415846,-4.330240822571928e-05,0.511037167624167,0.3738016715484958,-0.3332638670040967,-0.04053780454439909,-0.001427902130004406,0.002526120062910268,-0.01521399179429933,0.01268787173138906,0.1327267666251141
0.0002470994533848581,0.4929032108135004,0.4928259862077134,0.9996192073674874,0.03147786345062019,0.04495355231901529,8.875385937488031e-06,0.01799329919628759,-0.0001338074861278714,0.500102239130389,0.3807169132714691,-0.333192355119367,-0.04752455815210227,-0.002125421986434646,0.003209104632762572,-0.02074733803276598,0.01753823340000341,0.1294417772613517
0.0003408212691252688,0.6798554005853233,0.6796796818649098,0.9993030208721148,0.05900614429787816,0.0852387954801326,3.030444503597947e-05,0.03274318867058773,-0.0003563765352684537,0.4883711307929034,0.38895412074793395,-0.33307654274485665,-0.0558775780030773,-0.0030198256428124962,0.003706436438060029,-0.02654918432443799,0.02284274788637796,0.1244375988652122
0.0004515796396062921,0.900791366597108,0.9004009550669582,0.9987072725710544,0.1018791442722833,0.1490886116716434,8.723708576402646e-05,0.05458243978715926,-0.0008415342282322857,0.4763135296228151,0.3983601488635114,-0.33290519327391704,-0.06545495558959391,-0.004130061330232576,0.003865405811731924,-0.03219785358144869,0.02833244776971677,0.1174900665736942
0.000579372677243728,1.155707343578231,1.154859055810308,0.9976193568619736,0.1646465866376278,0.2443579441109815,0.000218659530208925,0.08471656963406525,-0.001801911550251606,0.4641571743067053,0.40873472012953976,-0.3326693064176397,-0.07606541371189973,-0.00547205862887838,0.003545435443001919,-0.03731314422752877,0.03376770878452686,0.1085867961434928
0.0007241982041420458,1.444598987157692,1.44280747939186,0.9957192874054588,0.2521145516640063,0.3797651600582032,0.0004892380793146917,0.1239747051904947,-0.003557524890273027,0.4518455948571488,0.41982660438481395,-0.332363063913965,-0.08746354047084895,-0.007055373969476679,0.002631157820524072,-0.04158957754153729,0.03895841972101322,0.09797004876590812
0.0008860537521320211,1.767461373939184,1.763809898431433,0.992559975339228,0.3691064551630951,0.5644888762762346,0.00099602399151092,0.1727280100584447,-0.006555497460797834,0.4390640816591386,0.4313361385495235,-0.33198409657849137,-0.099352041971032,-0.00888022597423986,0.001042519065699842,-0.04481810099016291,0.04377558192446307,0.0861411473709931
0.001064936562812813,2.124289001585036,2.117141328468705,0.987561755927811,0.5201031027528538,0.8074707985631373,0.001872760334255759,0.2308626466083143,-0.01137553136702946,0.42535543738582016,0.4429269834089386,-0.3315329592110262,-0.1113940241979125,-0.01093584263083599,-0.00125911287903695,-0.04689374824634698,0.04815286112538392,0.07382499868901944
0.001260843587598481,2.515075788908999,2.50166924497374,0.9800303943145412,0.7087381067841111,1.116377140098553,0.003290566579758723,0.2978085068899107,-0.01871189923192495,0.4103175768804421,0.45424753004375956,-0.331011907020665,-0.1232356230230944,-0.013200855896425494,-0.004269270845577809,-0.04780926300032388,0.05207853384590168,0.06189881864765587
0.001473771487770281,2.939815075980559,2.915727280936523,0.969204720010111,0.9371760481474316,1.496280071677675,0.005454472057778108,0.3726175525594106,-0.0293258053776615,0.39382654173473175,0.4649585535727904,-0.3304232760028241,-0.13453527756996603,-0.01564583593212367,-0.007943048263158246,-0.04763710847594993,0.05558015673910816,0.05129354284106107
0.001703716634533836,3.398499624238986,3.357001883154072,0.9543330991682604,1.205470758163943,1.948267367701215,0.00859610280052943,0.4540780458261415,-0.04396890778018159,0.3761942771680753,0.4747606641803966,-0.3297678786168613,-0.1449927855635353,-0.018237235321722278,-0.0122014961296216,-0.04650411792899532,0.05870561405861693,0.04288069208753696
0.001950675109080202,3.891121616615142,3.822456823807064,0.9347690523640888,1.51105909898377,2.468309618425218,0.01296354171056805,0.5408450378317547,-0.063287694946959,0.3581821052461645,0.4834148733004197,-0.3290437785041124,-0.1543710947963071,-0.02094150221838503,-0.01694063209940884,-0.04456396325263578,0.06150459535204462,0.03736148064616202
0.002214642702653591,4.417672657666571,4.308319093210192,0.910068845928896,1.848556469323009,3.046737815977526,0.01880977939847079,0.6315653432700202,-0.0877258937481905,0.34084891630333625,0.49075234285196684,-0.3282456393108295,-0.16250670354113755,-0.023728215827866505,-0.0220415156951452,-0.04197246260893341,0.06401397830407864,0.0351764621080549
0.002495614916622313,4.978143773719019,4.81014159301966,0.8800709898168427,2.209966491985992,3.668573813833558,0.02638117514259645,0.7249779949958303,-0.1174449790880041,0.32528650075540816,0.4966733267533508,-0.3273646511749697,-0.1693086755783809,-0.02657166511661945,-0.02737974883623167,-0.03886956153458716,0.06624931037081884,0.03645129898906926
0.002793586962555827,5.572525413020117,5.322944809227831,0.8449406114814014,2.585312839882998,4.314740553461201,0.03590701157585523,0.8199781147289406,-0.1522798139026984,0.3123421470573425,0.5011383187814009,-0.3263889103950478,-0.17474940838635283,-0.029450945269275428,-0.03283311781764243,-0.03536990010293665,0.06820301792057906,0.04098775854384854
0.003108553762306454,6.200807445902388,5.841424806965633,0.8051695863135953,2.963586021449665,4.963940262553056,0.0475907092843671,0.9156410710619072,-0.1917385290025821,0.30242671362261164,0.5041554769501115,-0.32530408954895895,-0.17885138740115264,-0.03234907433339685,-0.03828681694336951,-0.03156170991811792,0.06984852686148744,0.04830041391753471
0.003440509948095416,6.862979164954878,6.360202535724958,0.76153327485695,3.333817356252156,5.594819739545191,0.06160276189383659,1.011212211065285,-0.2350457809007887,0.2954614707630833,0.5057677843467951,-0.3240942606261395,-0.1816735237206556,-0.03525174833888093,-0.04363649977262353,-0.02751194814413545,0.07114844791675895,0.05769067934453036
0.003789449862605099,7.55902928520719,6.874082677448912,0.7150135728110181,3.68607366735517,6.187998837855996,0.07807512061056845,1.106073376243775,-0.2812196760117395,0.2909577474008764,0.5060420286756422,-0.3227427798533497,-0.18329924882229257,-0.03814623653649332,-0.04878993135187572,-0.02327457606040218,0.0720645074122779,0.06834301237222752
0.00415536755907453,8.28894594431994,7.37829033338556,0.666703467164157,4.012208374466681,6.727620270192634,0.09709667719557928,1.199699801545149,-0.3291671714856654,0.28817951455737056,0.5050603444485313,-0.32123317948620345,-0.18382716496232768,-0.04102069742694005,-0.05366806188883033,-0.01889891768531802,0.07256697957414836,0.07942526865469
0.00453825680140163,9.052716702788729,7.868659977775718,0.6177096068642979,4.306283914095353,7.202238293413084,0.1187096396317425,1.291619895145881,-0.3777814597234713,0.2863246201263062,0.5029141641712642,-0.3195500294453591,-0.18336413472590482,-0.04386397497932207,-0.05820600663642439,-0.01443587061510779,0.07264187725153218,0.09017677381659604
0.004938111064248796,9.850328544154747,8.341761136417077,0.5690670229483318,4.564664803545496,7.605036070578931,0.1429068561789132,1.381386680333147,-0.4260272303610929,0.28467225896481935,0.499700021566231,-0.31767973527856336,-0.18202028628766775,-0.046665773796817044,-0.06235397969456641,-0.009940927364843113,0.07229490705940951,0.09997273335699074
0.005354923533154365,10.68176787522713,8.794956422565292,0.521675373946483,4.785844253327646,7.93349353069103,0.1696303822796565,1.468564593684606,-0.4730044598677232,0.2826704606231397,0.49551661567773114,-0.31561123736649205,-0.17990537831123893,-0.049417034365340916,-0.06607792208376578,-0.005474062915826458,0.07155198499959221,0.1083600136291565
0.005788687104649082,11.54702052631526,9.226397385134351,0.4762605645203853,4.970098356487282,8.188694526308383,0.1987716926965929,1.552730493969587,-0.5179868761690938,0.27996373193227675,0.4904626903026969,-0.3133365768871411,-0.17712611341555579,-0.05211032448613266,-0.06935946021576708,-0.00109729629549868,0.07045675651126576,0.1150649150663515
